Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Nov-1997,SGF,826,"1,812","3,091",220,"5,949","1,496",806,"2,302","8,251"
Nov-1997,SLN,4,309,"2,468",329,"3,110","2,857",584,"3,441","6,551"
Nov-1997,STJ,0,3,958,371,"1,332",526,162,688,"2,020"
Nov-1997,STL,"28,159","9,821","2,295",390,"40,665",0,0,0,"40,665"
Nov-1997,SUS,8,579,"6,950",6,"7,543","7,098",0,"7,098","14,641"
Nov-1997,SUX,98,786,"1,486",351,"2,721",224,199,423,"3,144"
Nov-1997,TOP,0,30,"2,504",60,"2,594","2,638",34,"2,672","5,266"
Dec-1997,ALN,4,29,"2,086",40,"2,159","2,472",188,"2,660","4,819"
Dec-1997,ALO,0,"1,369","1,256",67,"2,692",858,62,920,"3,612"
Dec-1997,CID,"1,309","1,432","1,993",35,"4,769",737,0,737,"5,506"
Dec-1997,COU,58,495,"1,473",16,"2,042",824,46,870,"2,912"
Dec-1997,DBQ,0,485,"1,244",2,"1,731",774,0,774,"2,505"
Dec-1997,DSM,"2,330","3,156","3,540",194,"9,220",452,56,508,"9,728"
Dec-1997,FOE,7,78,795,399,"1,279",510,716,"1,226","2,505"
Dec-1997,GRI,4,549,722,18,"1,293",274,0,274,"1,567"
Dec-1997,HUT,0,227,"1,510",112,"1,849","1,730",167,"1,897","3,746"
Dec-1997,ICT,"2,085","2,062","7,541",46,"11,734","2,225",24,"2,249","13,983"
Dec-1997,JLN,0,467,"1,377",16,"1,860",506,0,506,"2,366"
Dec-1997,LNK,504,826,"2,570",764,"4,664","2,090",687,"2,777","7,441"
Dec-1997,MCI,"9,139","7,299",742,66,"17,246",0,0,0,"17,246"
Dec-1997,MKC,0,980,"6,270",41,"7,291","2,275",4,"2,279","9,570"
Dec-1997,OJC,0,19,"2,901",0,"2,920","2,967",0,"2,967","5,887"
Dec-1997,OMA,"4,239","2,527","3,489",21,"10,276","1,857",60,"1,917","12,193"
Dec-1997,SGF,843,"1,988","2,703",216,"5,750","1,206",428,"1,634","7,384"
Dec-1997,SLN,13,342,"1,942",155,"2,452","1,444",394,"1,838","4,290"
Dec-1997,STJ,0,9,775,341,"1,125",448,221,669,"1,794"
Dec-1997,STL,"29,076","10,221","1,911",353,"41,561",0,0,0,"41,561"
Dec-1997,SUS,4,349,"6,856",2,"7,211","6,531",0,"6,531","13,742"
