,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Facility,,,,Military,Total,Civil,Military,Total,,,,,,,,,,,,
,,Carrier,Taxi,Aviation,,,,,,Operations,,,,,,,,,,,
Aug-2016,SPI,27,419,"1,290",296,"2,032",519,264,783,"2,815",,,,,,,,,,,
Aug-2016,STC,16,33,"1,359",149,"1,557","1,222",104,"1,326","2,883",,,,,,,,,,,
Aug-2016,STP,0,546,"2,689",334,"3,569","1,440",314,"1,754","5,323",,,,,,,,,,,
Aug-2016,TOL,94,337,"1,137",269,"1,837",358,163,521,"2,358",,,,,,,,,,,
Aug-2016,TVC,915,907,"3,312",250,"5,384","4,136",128,"4,264","9,648",,,,,,,,,,,
Aug-2016,TZR,0,8,"1,081",8,"1,097",564,4,568,"1,665",,,,,,,,,,,
Aug-2016,UES,0,219,"2,759",19,"2,997","1,083",4,"1,087","4,084",,,,,,,,,,,
Aug-2016,UGN,0,441,"2,569",85,"3,095","1,618",32,"1,650","4,745",,,,,,,,,,,
Aug-2016,YIP,341,659,"2,561",498,"4,059","3,126","1,120","4,246","8,305",,,,,,,,,,,
Aug-2016,YNG,76,211,997,432,"1,716",374,468,842,"2,558",,,,,,,,,,,
Sep-2016,ALN,0,282,"1,497",27,"1,806","1,524",16,"1,540","3,346",,,,,,,,,,,
Sep-2016,ANE,0,317,"3,049",12,"3,378","3,038",22,"3,060","6,438",,,,,,,,,,,
Sep-2016,ARB,0,73,"2,413",11,"2,497","2,434",6,"2,440","4,937",,,,,,,,,,,
Sep-2016,ARR,0,92,"2,879",16,"2,987","2,137",0,"2,137","5,124",,,,,,,,,,,
Sep-2016,ATW,338,646,"1,097",7,"2,088",530,2,532,"2,620",,,,,,,,,,,
Sep-2016,AZO,154,568,"1,668",15,"2,405","1,237",0,"1,237","3,642",,,,,,,,,,,
Sep-2016,BAK,0,67,"2,188",66,"2,321",910,98,"1,008","3,329",,,,,,,,,,,
Sep-2016,BIS,179,972,"2,107",290,"3,548","1,561",360,"1,921","5,469",,,,,,,,,,,
Sep-2016,BKL,13,885,"1,452",68,"2,418","1,378",2,"1,380","3,798",,,,,,,,,,,
Sep-2016,BMG,6,107,"1,695",9,"1,817",519,5,524,"2,341",,,,,,,,,,,
Sep-2016,BMI,229,374,"1,220",14,"1,837",514,4,518,"2,355",,,,,,,,,,,
Sep-2016,BTL,4,103,"3,338",89,"3,534","4,782",230,"5,012","8,546",,,,,,,,,,,
Sep-2016,CAK,781,"1,488","2,054",107,"4,430","1,316",6,"1,322","5,752",,,,,,,,,,,
Sep-2016,CGF,0,402,"1,444",0,"1,846",782,20,802,"2,648",,,,,,,,,,,
Sep-2016,CLE,"6,397","2,740",796,29,"9,962",0,0,0,"9,962",,,,,,,,,,,
Sep-2016,CMH,"5,941","3,167","1,840",25,"10,973",0,0,0,"10,973",,,,,,,,,,,
Sep-2016,CMI,3,908,"1,195",32,"2,138","1,643",6,"1,649","3,787",,,,,,,,,,,
Sep-2016,CPS,26,"1,090","3,094",66,"4,276","6,851",8,"6,859","11,135",,,,,,,,,,,
Sep-2016,CWA,13,647,280,4,944,78,8,86,"1,030",,,,,,,,,,,
Sep-2016,DAY,"1,394","1,952",935,50,"4,331",67,16,83,"4,414",,,,,,,,,,,
Sep-2016,DEC,0,340,"1,042",218,"1,600","1,391",287,"1,678","3,278",,,,,,,,,,,
Sep-2016,DET,0,164,"1,765",4,"1,933","1,734",6,"1,740","3,673",,,,,,,,,,,
Sep-2016,DLH,111,661,"2,621",347,"3,740","2,512",413,"2,925","6,665",,,,,,,,,,,
Sep-2016,DPA,0,518,"4,544",29,"5,091","4,166",4,"4,170","9,261",,,,,,,,,,,
Sep-2016,DTW,"23,636","8,506",571,11,"32,724",0,0,0,"32,724",,,,,,,,,,,
Sep-2016,EAU,4,217,"1,367",14,"1,602",342,0,342,"1,944",,,,,,,,,,,
Sep-2016,ENW,0,335,"2,101",0,"2,436","1,608",0,"1,608","4,044",,,,,,,,,,,
Sep-2016,EVV,90,960,"1,008",86,"2,144",485,78,563,"2,707",,,,,,,,,,,
Sep-2016,FAR,390,"1,653","2,262",150,"4,455","2,534",136,"2,670","7,125",,,,,,,,,,,
Sep-2016,FCM,1,284,"4,617",8,"4,910","2,434",9,"2,443","7,353",,,,,,,,,,,
Sep-2016,FNT,441,730,"1,252",79,"2,502",452,0,452,"2,954",,,,,,,,,,,
Sep-2016,FSD,972,"2,133","1,943",212,"5,260",254,192,446,"5,706",,,,,,,,,,,
Sep-2016,FWA,294,"1,299",955,216,"2,764",273,38,311,"3,075",,,,,,,,,,,
Sep-2016,GFK,262,"11,190","1,371",18,"12,841","21,847",0,"21,847","34,688",,,,,,,,,,,
Sep-2016,GRB,502,783,"2,122",41,"3,448","1,189",29,"1,218","4,666",,,,,,,,,,,
Sep-2016,GRR,"1,972","1,525","2,292",50,"5,839",752,52,804,"6,643",,,,,,,,,,,
Sep-2016,GYY,52,114,"1,285",54,"1,505",481,16,497,"2,002",,,,,,,,,,,
Sep-2016,HUF,10,29,"2,228",25,"2,292","2,454",12,"2,466","4,758",,,,,,,,,,,
Sep-2016,IND,"9,440","2,235","1,289",68,"13,032",0,0,0,"13,032",,,,,,,,,,,
Sep-2016,JVL,1,382,969,15,"1,367",900,6,906,"2,273",,,,,,,,,,,
Sep-2016,JXN,0,49,"2,217",15,"2,281","1,670",4,"1,674","3,955",,,,,,,,,,,
Sep-2016,LAF,11,69,"4,221",10,"4,311","7,654",0,"7,654","11,965",,,,,,,,,,,
