Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
11/2014,MRI,0,709,"2,986",7,"3,702","4,322",4,"4,326","8,028"
12/2014,ADQ,114,"1,191",74,318,"1,697",39,489,528,"2,225"
12/2014,AKN,35,570,105,18,728,47,82,129,857
12/2014,ANC,"8,406","4,992","2,574",115,"16,087",496,0,496,"16,583"
12/2014,BET,180,"6,849",71,7,"7,107",48,26,74,"7,181"
12/2014,ENA,2,"1,936",152,32,"2,122",254,70,324,"2,446"
12/2014,FAI,939,"2,394","1,160",121,"4,614","1,289",30,"1,319","5,933"
12/2014,JNU,498,"2,506",291,4,"3,299",284,0,284,"3,583"
12/2014,MRI,0,700,"2,181",2,"2,883","2,807",0,"2,807","5,690"
01/2015,ADQ,114,"1,070",75,288,"1,547",109,709,818,"2,365"
01/2015,AKN,30,568,101,16,715,28,68,96,811
01/2015,ANC,"7,900","4,751","3,438",162,"16,251",604,0,604,"16,855"
01/2015,BET,184,"5,796",89,10,"6,079",50,0,50,"6,129"
01/2015,ENA,21,"1,893",204,18,"2,136",336,288,624,"2,760"
01/2015,FAI,929,"2,153","1,030",121,"4,233","1,016",21,"1,037","5,270"
01/2015,JNU,551,"1,968",170,20,"2,709",72,0,72,"2,781"
01/2015,MRI,0,657,"2,742",0,"3,399","3,728",0,"3,728","7,127"
02/2015,ADQ,99,"1,033",93,269,"1,494",24,445,469,"1,963"
02/2015,AKN,35,579,88,34,736,58,73,131,867
02/2015,ANC,"7,542","4,214","3,202",140,"15,098",347,1,348,"15,446"
02/2015,BET,161,"6,166",70,5,"6,402",75,2,77,"6,479"
02/2015,ENA,57,"1,802",201,25,"2,085",410,194,604,"2,689"
02/2015,FAI,854,"2,229","1,434",182,"4,699","1,528",21,"1,549","6,248"
02/2015,JNU,550,"2,062",308,15,"2,935",410,18,428,"3,363"
02/2015,MRI,0,765,"2,607",1,"3,373","3,460",0,"3,460","6,833"
03/2015,ADQ,118,"1,224",71,373,"1,786",44,587,631,"2,417"
03/2015,AKN,48,667,105,17,837,72,36,108,945
03/2015,ANC,"9,151","5,351","5,200",200,"19,902",929,0,929,"20,831"
03/2015,BET,184,"6,748",137,91,"7,160",82,17,99,"7,259"
03/2015,ENA,35,"2,064",324,38,"2,461",498,266,764,"3,225"
03/2015,FAI,"1,043","2,776","2,728",176,"6,723","2,540",22,"2,562","9,285"
03/2015,JNU,582,"3,141",569,20,"4,312",141,6,147,"4,459"
03/2015,MRI,0,922,"4,051",2,"4,975","4,818",4,"4,822","9,797"
04/2015,ADQ,134,"1,469",182,394,"2,179",64,848,912,"3,091"
04/2015,AKN,52,801,177,33,"1,063",278,91,369,"1,432"
04/2015,ANC,"8,309","5,316","5,146",132,"18,903","1,210",0,"1,210","20,113"
04/2015,BET,281,"7,967",146,14,"8,408",75,0,75,"8,483"
04/2015,ENA,66,"1,985",471,44,"2,566",638,124,762,"3,328"
04/2015,FAI,"1,060","2,596","2,959",239,"6,854","3,938",16,"3,954","10,808"
04/2015,JNU,735,"4,210",560,13,"5,518",256,44,300,"5,818"
04/2015,MRI,1,938,"3,894",1,"4,834","4,610",0,"4,610","9,444"
05/2015,ADQ,122,"1,763",179,346,"2,410",142,258,400,"2,810"
05/2015,AKN,51,"1,229",279,14,"1,573",76,2,78,"1,651"
05/2015,ANC,"9,031","6,571","10,112",229,"25,943","1,454",0,"1,454","27,397"
05/2015,BET,275,"8,299",348,28,"8,950",87,0,87,"9,037"
05/2015,ENA,34,"2,198",684,53,"2,969",645,310,955,"3,924"
05/2015,FAI,"1,171","2,819","4,611",111,"8,712","5,570",6,"5,576","14,288"
05/2015,JNU,923,"12,757","1,601",25,"15,306",480,8,488,"15,794"
05/2015,MRI,1,"1,238","6,596",32,"7,867","6,351",0,"6,351","14,218"
06/2015,ADQ,134,"1,861",192,324,"2,511",96,170,266,"2,777"
06/2015,AKN,110,"2,783","1,012",34,"3,939",152,43,195,"4,134"
06/2015,ANC,"9,804","9,671","11,154",223,"30,852","1,010",14,"1,024","31,876"
06/2015,BET,269,"7,495",466,6,"8,236",109,0,109,"8,345"
06/2015,ENA,149,"2,393",706,61,"3,309",720,208,928,"4,237"
06/2015,FAI,"1,273","2,994","4,747",174,"9,188","4,245",14,"4,259","13,447"
06/2015,JNU,"1,145","16,841","1,600",40,"19,626",563,6,569,"20,195"
06/2015,MRI,0,"1,407","6,356",26,"7,789","4,475",0,"4,475","12,264"
07/2015,ADQ,227,"2,071",194,362,"2,854",56,214,270,"3,124"
07/2015,AKN,267,"4,795","1,272",19,"6,353",28,42,70,"6,423"
07/2015,ANC,"10,448","11,385","11,603",210,"33,646",788,0,788,"34,434"
07/2015,BET,248,"7,161",688,10,"8,107",62,10,72,"8,179"
07/2015,ENA,42,"2,306",816,37,"3,201",534,356,890,"4,091"
07/2015,FAI,"1,333","3,033","4,339",207,"8,912","3,052",36,"3,088","12,000"
07/2015,JNU,"1,083","16,844","1,712",40,"19,679",314,1,315,"19,994"
07/2015,MRI,1,"1,432","6,417",4,"7,854","5,225",0,"5,225","13,079"
08/2015,ADQ,116,"2,008",286,401,"2,811",174,419,593,"3,404"
08/2015,AKN,143,"2,929","1,101",11,"4,184",23,25,48,"4,232"
08/2015,ANC,"10,174","10,503","10,993",238,"31,908",708,0,708,"32,616"
08/2015,BET,262,"7,321",493,22,"8,098",48,0,48,"8,146"
08/2015,ENA,12,"2,257",677,43,"2,989",606,360,966,"3,955"
08/2015,FAI,"1,261","3,346","5,122",222,"9,951","4,123",9,"4,132","14,083"
08/2015,JNU,"1,102","14,372","1,435",29,"16,938",241,4,245,"17,183"
